"rid","us_private_land"
701293867,0.0262377313298892
701293868,0
701293869,0
701293874,0
701293875,0.0262377313298892
701293880,0
701293882,0
701293886,0
701293888,0
701293889,0
701293890,0
701293891,0.0249613470426049
701293893,0
701293898,1.51516365153335e-05
701293904,0.0257197840072551
701293911,0.0238976854585842
701293930,0
701293932,0
701293934,0.0238976854585842
701293943,0
701293946,0
701293948,0
701293950,0
701293953,0.0262377313298892
701293955,0.0262096578650336
701293957,0
701293959,0.0257425694109101
701293961,0.0257197840072551
701293963,0
701293965,0.0262377313298892
701293972,0
701293974,0
701293977,0
701293980,0.0238976854585842
701293981,0
701293984,0
701293985,0
701293996,0
701293998,0
701294002,0
701294004,0.0530798844641055
701294006,0
701294008,0
701294011,0
701294013,0.0104898182715475
701294016,0
701294028,0
701294029,0
701294030,0.0530798844641055
701294032,0
701294035,0
701294046,0
701294048,0
701294055,0
701294069,0
701294073,0
701294074,0
701294076,0
701294079,0
701294081,0
701294083,0
701294088,0
701294093,0
701294098,0
701294100,0.0530798844641055
701294102,0
701294103,0.0238976854585842
701294116,0.0530798844641055
701294121,0
701294123,0
701294125,0
701294127,0.010482317795677
701294129,0
701294131,0
701294135,0
701294136,0
701294138,0
701294140,0
701294142,0
701294144,0.0238976854585842
701294154,0
701294156,0
701294161,0
701294163,0
701294164,0.00462332344448364
701294166,0
701294168,0
701294173,0
701294175,0
701294177,0.0238976854585842
701294181,0.0228605469292518
701294183,0
701294186,0
701294188,0
701294192,0
701294194,0
701294195,0.0238976854585842
701294203,0
701294206,0
701294214,0
701294216,0
701294220,0
701294221,0
701294224,0
701294226,0.0238976854585842
701294236,0
701294237,0
701294242,0
701294245,0
701294246,0.0226871198209413
701294252,0
701294259,0
701294268,0
701294270,0
701294272,0
701294274,1.51516365153335e-05
701294275,0
701294277,0
701294280,0
701294287,0
701294294,0
701294298,0
701294300,0
701294303,0
701294305,0
701294307,0
701294313,0
701294315,0
701294317,0
701294319,0.0226871198209413
701294321,0
701294331,0
701294333,0
701294335,0
701294336,0
701294338,0.001820504004956
701294340,0
701294341,0
701294351,0
701294356,1.51516365153335e-05
701294358,0
701294363,0
701294369,0
701294370,0.0530798844641055
701294372,0
701294374,0
701294376,0
701294378,0
701294383,0
701294386,0
701294396,0
701294397,0
701294398,0.00989052490129882
701294400,0
701294407,0
701294409,0
701294412,0
701294416,0
701294421,0
701294427,0
701294429,0
701294438,0
701294440,0
701294444,0
701294445,0
701294446,0
701294448,0
701294451,0
701294452,0
701294453,0
701294455,0
701294457,0
701294459,0
701294461,0.0204222738231116
701294464,0
701294466,0
701294472,0
701294474,0
701294475,0
701294477,0
701294485,0
701294488,0
701294490,0
701294494,0
701294496,0
701294507,0
701294512,0
701294514,0
701294516,0
701294518,0.00169240473534214
701294525,0.0530798844641055
701294531,0
701294533,0
701294535,0.0535376974670373
701294536,0
701294538,0.0553968938501182
701294539,0
701294540,0.0554917007350515
701294546,0
701294555,0
701294559,0
701294561,0.00266103224948163
701294563,0
701294566,0.0555556339951569
701294574,0.0555556339951569
701294581,0
701294586,0.0203338642811964
701294587,0
701294589,0
701294591,0
701294592,1.51516365153335e-05
701294597,0
701294599,0
701294600,0
701294602,0.0574778854063181
701294603,0
701294606,0
701294612,0
701294616,0.100169174332499
701294629,0
701294632,0
701294633,0
701294634,0
701294635,0
701294642,0
701294645,0
701294649,0
701294652,0
701294654,0
701294656,0
701294657,0
701294659,0.0786850095398852
701294661,0
701294663,0
701294668,0
701294676,0
701294677,0
701294679,0
701294682,0
701294684,0
701294686,0.00767283065056252
701294687,0
701294689,0
701294693,0
701294697,0
701294699,0
701294709,0.00255768293306395
701294712,0
701294716,1.51516365153335e-05
701294725,0
701294728,0
701294735,0
701294740,0
701294744,0.00260513006012694
701294747,0
701294749,0
701294751,0.00251650503376891
701294752,0
701294754,0
701294757,0.00255768293306395
701294759,0.141551475410231
701294763,0
701294767,0.00255768293306395
701294777,0
701294781,0
701294784,0.00251650503376891
701294788,0
701294789,0
701294799,0
701294801,0
701294802,0
701294804,0
701294808,0
701294811,0
701294814,0
701294817,0
701294818,0
701294820,0
701294823,0
701294825,0
701294839,0
701294843,0
701294846,0
701294848,0
701294851,0
701294852,0
701294860,0
701294865,0
701294872,0
701294874,0
701294876,0
701294880,1.51516365153335e-05
701294886,0.0428271635736106
701294890,0
701294892,0
701294894,0
701294896,0
701294899,0
701294901,0
701294904,0
701294906,0.00653536324911039
701294907,0
701294911,0.254229359784262
701294916,0
701294922,0
701294925,0
701294927,0
701294929,0
701294933,0
701294935,0
701294937,0
701294939,0
701294942,0
701294944,0
701294946,0
701294951,0
701294954,0
701294958,0
701294965,0
701294968,0
701294969,0
701294970,0
701294973,0
701294978,0
701294979,0
701294987,0.00483755676890626
701294988,0
701294993,0
701294995,0
701295002,0
701295003,1.51516365153335e-05
701295011,0
701295016,0
701295019,0
701295021,0
701295031,0
701295034,0
701295036,0.00979118839172281
701295038,0.0141186896107877
701295040,0
701295042,0
701295048,0
701295051,0
701295057,0
701295059,0.0203338642811964
701295060,0
701295062,0
701295069,0
701295070,0
701295073,0
701295078,0.00483755676890626
701295081,0
701295082,1.51516365153335e-05
701295084,0
701295090,0
701295091,0.0141186896107877
701295095,0
701295098,0
701295100,0
701295102,0
701295117,0
701295121,0.0428271635736106
701295126,0
701295128,0
701295135,0
701295138,0
701295147,0
701295154,0
701295156,0
701295158,0.00615385872464344
701295159,0
701295160,0
701295162,0
701295164,0
701295166,0
701295171,0
701295178,0
