"rid","us_area_m2","var_area_m2"
701289652,37234336.3569094,37234336.356912
701289657,2565721.08526231,2565721.085262
701289659,283598.794410217,283598.79441
701289664,1290394.9278637,1290394.927864
701289666,217833.601206291,217833.601206
701289672,217833.601206291,217833.601206
701289675,54551853.4015506,54551853.401554
701289680,54551853.4015506,54551853.401554
701289685,54551853.4015506,54551853.401554
701289687,1008297.7500824,1008297.750082
701289688,1290394.9278637,1290394.927864
701289691,382884.716207039,382884.716207
701289692,590647.060830811,590647.060831
701289693,1008297.7500824,1008297.750082
701289700,53319912.2954019,53319912.295405
701289702,1008297.7500824,1008297.750082
701289707,1066393.67003088,1066393.670031
701289711,1882244.10564176,1882244.105642
701289712,11508602.7672745,11508602.767274
701289717,1462810.03182375,1462810.031824
701289719,176124.606283629,176124.606284
701289720,1008297.7500824,1008297.750082
701289726,262056.897918753,262056.897919
701289728,1066393.67003088,1066393.670031
701289730,1285428.57393958,1285428.573939
701289731,369661.64466872,369661.644669
701289741,1008297.7500824,1008297.750082
701289743,1290394.9278637,1290394.927864
701289745,2930279.46159325,2930279.461593
701289747,991680.148912042,991680.148912
701289753,126538.502039986,126538.50204
701289767,55281249.1996567,55281249.19966
701289773,1983209.24348219,1983209.243482
701289775,410134.711064177,410134.711064
701289778,711808.282195801,711808.282196
701289780,11343770.3485637,11343770.348563
701289782,876682.550005463,876682.550005
701289785,55281249.1996567,55281249.19966
701289786,118743.880558134,118743.880558
701289789,1008297.7500824,1008297.750082
701289793,295503.102802995,295503.102803
701289794,1008297.7500824,1008297.750082
701289795,295413.737963298,295413.737963
701289797,711808.282195801,711808.282196
701289804,2495634.15394974,2495634.15395
701289806,61398991.9056379,61398991.905643
701289808,295503.102802995,295503.102803
701289815,1008297.7500824,1008297.750082
701289819,1008297.7500824,1008297.750082
701289822,279759.820606068,279759.820606
701289826,295503.102802995,295503.102803
701289827,2540456.63125102,2540456.631251
701289828,40897.1589681562,40897.158968
701289831,154146.694699284,154146.694699
701289832,1290394.9278637,1290394.927864
701289841,295503.102802995,295503.102803
701289843,2540456.63125102,2540456.631251
701289848,64248162.0662168,64248162.066222
701289853,624855.847107669,624855.847108
701289855,64248162.0662168,64248162.066222
701289858,1008297.7500824,1008297.750082
701289861,64248162.0662168,64248162.066222
701289867,5727067.57036609,5727067.570366
701289869,65323328.5685522,65323328.568557
701289870,545510.368576507,545510.368577
701289872,439218.865211531,439218.865212
701289876,3010696.43281156,3010696.432812
701289878,71317087.7393772,71317087.739382
701289886,711808.282195801,711808.282196
701289888,3010696.43281156,3010696.432812
701289894,3332569.02315351,3332569.023155
701289897,3010696.43281156,3010696.432812
701289904,71317087.7393772,71317087.739382
701289908,10659931.0952418,10659931.095241
701289913,1056124.59134574,1056124.591347
701289920,1056124.59134574,1056124.591347
701289925,6050158.32294917,6050158.322951
701289928,561.702338700066,561.702339
701289934,1056124.59134574,1056124.591347
701289937,3332569.02315351,3332569.023155
701289938,900489.189432705,900489.189433
701289943,71317087.7393772,71317087.739382
701289945,1966437.83120641,1966437.831207
701289946,711079.434444054,711079.434444
701289950,6050158.32294917,6050158.322951
701289954,3332569.02315351,3332569.023155
701289955,6050158.32294917,6050158.322951
701289957,8515482.74718374,8515482.747183
701289958,6050158.32294917,6050158.322951
701289963,6050158.32294917,6050158.322951
701289964,6050158.32294917,6050158.322951
701289967,525017.619246159,525017.619246
701289969,484271.051395059,484271.051395
701289971,6050158.32294917,6050158.322951
701289974,6050158.32294917,6050158.322951
701289975,6050158.32294917,6050158.322951
701289976,6050158.32294917,6050158.322951
701289978,6050158.32294917,6050158.322951
701289988,1978721.89131554,1978721.891316
701289996,1978721.89131554,1978721.891316
701289999,287902.402752646,287902.402753
701290002,3010696.43281156,3010696.432812
701290004,1156133.29119627,1156133.291196
701290007,74112537.1302407,74112537.130246
701290015,7376295.20190028,7376295.201899
701290017,390490.924334645,390490.924335
701290024,14954838.8535464,14954838.853547
701290027,14954838.8535464,14954838.853547
701290028,74112537.1302407,74112537.130246
701290030,286424.511353604,286424.511354
701290032,14954838.8535464,14954838.853547
701290035,14954838.8535464,14954838.853547
701290039,670174.925329678,670174.92533
701290041,670174.925329678,670174.92533
701290046,74598675.0525595,74598675.052565
701290049,6962154.48535717,6962154.485356
701290052,4560555.24160125,4560555.241601
701290056,5255718.78129018,5255718.78129
701290058,1205822.87593725,1205822.875937
701290062,74903204.6104484,74903204.610454
701290063,6900439.08633997,6900439.08634
701290065,563349.302495941,563349.302496
701290067,2781422.03591836,2781422.035918
701290069,1660265.25421236,1660265.254212
701290071,274302.111645322,274302.111645
701290075,14954838.8535464,14954838.853547
701290077,274302.111645322,274302.111645
701290079,286424.511353604,286424.511354
701290087,238151.872527093,238151.872527
701290092,14954838.8535464,14954838.853547
701290098,561.702338700066,561.702339
701290100,119634.845548101,119634.845548
701290101,670174.925329678,670174.92533
701290102,512649.425673935,512649.425674
701290103,75149918.8010422,75149918.801048
701290109,75902735.2442409,75902735.244246
701290113,423732.008939202,423732.008939
701290115,423732.008939202,423732.008939
701290117,6900439.08633997,6900439.08634
