"rid","us_MAP"
701310175,457.053579360562
701310189,448.508408654818
701310203,448.508408654818
701310210,448.646923243106
701310212,449.844496551609
701310217,450.236405639559
701310231,450.24291593587
701310241,450.24291593587
701310257,439.831214147656
701310290,439.831214147656
701310312,454.741197395465
701310414,440.487863624947
701310421,440.906178247213
701310433,441.013960494573
701310440,450.48455108206
701310445,441.441678275419
701310453,441.441678275419
701310461,450.48455108206
701310470,450.48455108206
701310474,441.441678275419
701310480,450.48455108206
701310486,448.388092949249
701310489,441.441678275419
701310491,443.425006640923
701310492,441.64519314907
701304729,458.448703947088
701304739,428
701304742,459.052411953974
701304749,458.103455881766
701304858,456.261874273541
701304955,454.852428084485
701310519,440
701310527,433.459662789434
701310531,440
701310533,433.459662789434
701310314,438.888176158391
701310177,447
701304496,472.679969410632
701304555,473.30470624743
701304737,459.329706963929
701304810,460.062979917096
701304818,461.03572278822
701304833,471.196982917549
701304876,462.239371259256
701304878,461.317764922873
701304931,462.457307801936
701304984,462.719398206089
701304995,462.903696201514
701305033,462.974520000881
701305034,469.0676875117
701308280,402.302086217188
701308301,402.302086217188
701308562,402.302086217188
701308597,402.302086217188
701308626,401.542178562844
701308680,398.246711028935
701308690,398.246711028935
701308734,398.246711028935
701308779,398.246711028935
701308878,398.246711028935
701309164,398.246711028935
701309433,404.551283469303
701309531,401.746912654873
701309604,400.80134035293
701309619,453.108812820423
701309668,452.083673399281
701309694,450.602270547753
701305079,461.634637041108
701305243,461.811025622487
701305253,461.811025622487
701305255,461.912950640431
701305257,462.094899575923
701305493,462.101605337911
701305503,462.199299315661
701305701,462.821433313485
701305736,462.19565890172
701305784,462.561404478917
701305805,474.179525895066
701305959,474.179525895066
701306059,474.179525895066
701306076,474.179525895066
701306334,477.322609815592
701306371,478.123009354057
701306373,475.122129083281
701306375,476.197864900669
701306844,480.592820484046
701306858,480.592820484046
701306888,480.592820484046
701305815,457.624585195611
701305874,458.010796285863
701305951,446.922323297117
701306087,446.922323297117
701306119,449
701310593,405.760655639963
701310594,405.760655639963
701310606,412.723722718109
701310611,417.589389177577
701310613,409.938342896685
701310622,412.723722718109
701310627,429.536955588992
701310631,428.435742132253
701310641,417.589389177577
701310691,405.760655639963
701310694,401.632607576937
701310710,401.632607576937
701310734,401.632607576937
701310744,401.632607576937
701310822,401.632607576937
701310836,390.358927140916
701310820,339.947686263375
701310543,435
701310561,430.901560690001
701310568,430.901560690001
701310570,435
701310579,435
701310598,435
701310602,435
701310604,435
701308140,480.453844746954
701308166,470.935234469478
701308333,479.006452124487
701308383,470
701308394,478.160458101205
701309441,470.284363440968
701309488,464.669599887745
701309602,464.006887828229
701302326,443.730530090995
701302328,441.620264192027
701302341,443.935934301011
701302629,441.056058921502
701302674,441.013732752332
701302700,440.839580486281
701302745,438.906901451484
701302760,441.371681918677
701302778,439.01398342232
701302823,438.845252561869
701302825,438.933371496428
701302826,439.01398342232
701302828,439.01398342232
701302953,438.361988108498
701303085,438.197705244888
701303116,438.121212210895
701303322,438.009146721854
701303474,437.819412863669
701303486,420.899399254699
701303499,422.705898382307
701303616,423.185009911155
701303656,437.65669691597
701303677,437.65669691597
701303696,425.474941689384
701303703,437.65669691597
701303712,425.474941689384
701303723,425.474941689384
701303737,417.362804866182
701303752,437.65669691597
701303770,432.591330021273
701303781,437.65669691597
701303786,432.591330021273
701303805,437.65669691597
701303810,415.979003190276
701303811,415.979003190276
701303817,432.591330021273
701303832,432.591330021273
701303844,437.291727759289
701303851,426.622709855099
701303864,437.65669691597
701303881,426.622709855099
701303892,427.191525133594
701304003,427.191525133594
701304013,427.191525133594
701304015,427.191525133594
701304031,427.192726667041
701304034,427.192726667041
701304035,427.192726667041
701304042,427.192726667041
701304045,427.192726667041
701304058,427.192726667041
701304061,429.080253462179
701304067,427.192726667041
701304069,430.078000462608
701304072,427.192726667041
701304074,432.440489717222
701304077,427.192726667041
701304079,427.192726667041
701304098,432.591330021273
701304105,432.591330021273
701304116,432.591330021273
701302583,400
701302713,414.452348247865
701302770,413.344924007012
701303354,413.08971955026
701303389,413.08971955026
701303410,413.08971955026
701289476,456.273256046886
701289488,429.151395857249
701289490,425.7460673663
701289496,425.7460673663
701289500,425.7460673663
701289511,460.329950770221
