"rid","us_vri_non_forested"
701292923,0.0154134834844959
701292924,0.0145530876589316
701292926,0.00252617403155785
701292927,0.0161381901192399
701292930,0
701292932,0.0214332389936113
701292935,0
701292941,2.05265561623914e-08
701292948,0.0546562982120554
701292949,0.0768401416859862
701292951,0
701292953,2.05265561623914e-08
701292960,0.0115219413775745
701292962,0.0115219413775745
701292969,0
701292972,0
701292976,0.0547790087544442
701292977,0.0249993620043841
701292980,0
701292983,0
701292986,0.00251379625148237
701292988,0.0115219413775745
701292989,0.0170221086034426
701292991,0
701293012,0
701293015,0.00443752163666553
701293017,0
701293020,0.0911590916636467
701293022,0
701293027,0
701293029,0
701293034,2.07689246336841e-09
701293036,0
701293038,0.00246933519791605
701293041,0
701293048,0.00468986694193485
701293055,0.0911590916636467
701293058,0.0455877619132844
701293066,0.0233934943071191
701293067,0.0173520378075124
701293072,0.0453030691750927
701293073,2.07689246336841e-09
701293074,0.0448299948970448
701293076,0.0450900934510916
701293079,0
701293082,0
701293088,0
701293089,0
701293091,0.0233934943071191
701293093,0.00650355066047472
701293097,0.0322591994230348
701293099,0.0233934943071191
701293100,0
701293102,0.017905824129437
701293103,0.542817396036833
701293106,0
701293108,0
701293116,0
701293122,0
701293125,0.00457991861093646
701293127,0
701293129,0
701293131,0
701293134,0
701293137,0
701293138,0.126051213335024
701293140,0.0181028764618279
701293142,0
701293145,0.00976388231396418
701293149,0.193257829011698
701293153,0.0235315927959275
701293154,0.0185459458739777
701293157,0.0193819185097542
701293159,0.126051213335024
701293163,0
701293164,0.0193819185097542
701293166,0
701293168,0
701293169,0.0193819185097542
701293170,0.0212133510256461
701293172,0.0235315927959275
701293173,0.0911590916636467
701293177,0
701293179,0.0208789453772321
701293191,0.0122833100005092
701293197,0.0212133510256461
701293205,0
701293207,0
701293208,0
701293210,0.0450900934510916
701293215,0
701293217,0.0204693732227914
701293219,0
701293221,0.0214332389936113
701293223,0
701293226,0.0231372860556489
701293229,0.0911590916636467
701293230,0.0911590916636467
701293232,0
701293241,1.83561211330199e-09
701293245,0
701293248,0.0450900934510916
701293250,0
701293253,0.0120808119717384
701293255,0
701293259,0.0247922375092674
701293262,0.0942544357081697
701293264,0.00443752163666553
701293266,0
701293270,0.0247922375092674
701293272,0.0942544357081697
701293283,0.0237896723591095
701293286,0
701293287,0
701293289,0
701293291,0
701293293,0
701293295,0
701293298,0.0450900934510916
701293302,0
701293304,0.19417419833956
701293305,0
701293306,0
701293307,0.0101050394960697
701293310,0
701293323,0
701293326,0.0101050394960697
701293328,0
701293332,0
701293336,0
701293343,0
701293358,0
701293360,0
701293369,0
701293371,0
701293373,0.00931997667223738
701293375,0.0016922513986667
701293377,0
701293394,0.00454424197583402
701293395,0.197867145448542
701293398,0.0450900934510916
701293415,0
701293427,0
701293429,0.0450900934510916
701293431,0
701293435,0.0237896723591095
701293437,0
701293449,0.197737665689675
701293452,0
701293466,0.00510100009908363
701293476,0
701293483,0
701293492,0.00451941366376259
701293494,0
701293495,0
701293498,0
701293500,0
701293505,0.0432583291452559
701293514,0
701293518,0.00510100009908363
701293523,0.197295487564847
701293524,0.041025891540028
701293525,0
701293529,0
701293531,0.00443752163666553
701293532,0
701293537,0
701293540,0
701293542,0
701293547,0.00510100009908363
701293552,0
701293558,0
701293562,0.041025891540028
701293564,0
701293566,0.00443752163666553
701293572,0
701293574,0
701293578,0
701293585,0
701293587,0
701293595,0
701293605,0
701293606,0.151384193228584
701293614,0
701293617,0
701293619,0
701293624,0
701293635,0
701293637,0
701293639,0
701293640,0
701293641,0
701293647,0
701293651,0.0261605367010148
701293653,0
701293659,0.00441645603468472
701293661,0
701293662,0
701293666,0.041025891540028
701293676,0
701293678,0
701293681,0
701293684,0
701293686,0.00931997667223738
701293694,0.0116762948419033
701293696,0
701293704,0
701293705,0
701293709,0
701293714,0
701293717,0
701293720,0
701293725,0
701293732,0
701293738,0
701293740,0
701293743,0.0122301859768276
701293745,0
701293748,0
701293749,0
701293752,0
701293754,0
701293755,0
701293757,0
701293760,0
701293763,0
701293764,0
701293766,0
701293770,8.32210023525416e-10
701293771,8.32210023525416e-10
701293780,0
701293782,0.0261605367010148
701293783,8.32210023525416e-10
701293784,0
701293788,0.0261605367010148
701293799,0
701293803,0
701293805,0
701293809,0.0537344925379335
701293811,1.45114683961128e-09
701293812,0
701293817,0
701293819,0
701293821,0.0401805415310456
701293826,0.0432583291452559
701293827,0
701293829,0
701293832,0
701293833,0
701293834,0.0537344925379335
701293839,0
701293847,0.0414014054493586
701293851,0
701293852,0
701293853,0.151226150290486
701293855,0.0261605367010148
701293857,0.00439763778201487
701293860,0
701293867,0.0422351506744249
701293868,0
701293869,0
701293874,0.00729820936038994
701293875,0.0422351506744249
701293880,0
701293882,0
701293886,0
701293888,0
701293889,0
701293890,0
701293891,0.0401805415310456
701293893,0
701293898,1.45114683961128e-09
701293904,0.0414014054493586
701293911,0.0384683543490488
701293930,0
701293932,0
701293934,0.0384683543490488
701293943,0
701293946,0
701293948,0
701293950,0
701293953,0.0422351506744249
701293955,0.0421899605242849
701293957,0
701293959,0.0414380833520495
701293961,0.0414014054493586
701293963,0
701293965,0.0422351506744249
701293972,0
701293974,0
701293977,0
701293980,0.0384683543490488
701293981,0.0960159866028949
701293984,0
701293985,0.00729820936038994
701293996,0
701293998,0
701294002,0
701294004,0.0537344925379335
701294006,0
701294008,0
701294011,0
701294013,0.00439763778201487
701294016,0.00729820936038994
701294028,0.0147919728856649
701294029,0
