"rid","us_drainage_density_ruggedness"
701289878,2.1963610723036
701289886,2.15243308951765
701289888,2.20067304946386
701289894,2.25218092941193
701289897,2.20067304946386
701289904,2.1963610723036
701289908,1.41231844425914
701289913,2.22999153620503
701289920,2.22999153620503
701289925,2.02614582058103
701289928,2403.60133828898
701289934,2.22999153620503
701289937,2.25218092941193
701289938,1.44685967953498
701289943,2.1963610723036
701289945,1.25078518170038
701289946,1.34931493386472
701289950,2.02614582058103
701289954,2.25218092941193
701289955,2.02614582058103
701289957,1.52826007481311
701289958,2.02614582058103
701289963,2.02614582058103
701289964,2.02614582058103
701289967,2.13517634266854
701289969,1.91089596895116
701289971,2.02614582058103
701289974,2.02614582058103
701289975,2.02614582058103
701289976,2.02614582058103
701289978,2.02614582058103
701289988,1.20746766410427
701289996,1.20746766410427
701289999,1.45891106123134
701290002,2.20067304946386
701290004,2.26462460680676
701290007,2.15401656429861
701290015,1.59628887917695
701290017,8.22782784455101
701290024,1.91162564706
701290027,1.91162564706
701290028,2.15401656429861
701290030,1.72409231872744
701290032,1.91162564706
701290035,1.91162564706
701290039,1.36384511788597
701290041,1.36384511788597
701290046,2.14773168809867
701290049,1.56855522571563
701290052,2.10694656478236
701290056,1.89222561435277
701290058,2.17534179557026
701290062,2.14030094619168
701290063,1.87999832149348
701290065,0.571587287977516
701290067,0.739374022876238
701290069,0.408515626213483
701290071,1.72194627757288
701290075,1.91162564706
701290077,1.72194627757288
701290079,1.72409231872744
701290087,1.97038299583389
701290092,1.91162564706
701290098,2403.60133828898
701290100,4.98059823214299
701290101,1.36384511788597
701290102,1.05934557374849
701290103,2.13708414011341
701290109,2.13867352181644
701290113,4.11180407286904
701290115,4.11180407286904
701290117,1.87999832149348
701290121,26117.8283987127
701290122,5.59715685140685
701290124,2.14274060282216
701290126,2.52497000201835
701290127,1.20746766410427
701290129,7.00903878247159
701290130,5.97935313538205
701290132,2.02417252233834
701290136,5.69213025593802
701290138,2.02417252233834
701290139,5.59715685140685
701290140,7.47397912993775
701290150,7.00903878247159
701290166,2.14711612871347
701290167,7.00903878247159
701290169,7.00903878247159
701290171,2.02417252233834
701290174,7.00903878247159
701290178,7.00903878247159
701290183,22.0690377300755
701290190,22.0690377300755
701290200,2.14967384667086
701290209,2.15986691898134
701290212,22.0690377300755
701290215,7.00903878247159
701290218,0.847839321497456
701290219,2.02417252233834
701290221,2.15051359136808
701290225,1.91162564706
701290227,3.67672794612487
701290228,22.0690377300755
701290231,4.18290620900884
701290233,1.91162564706
701290235,2.13949107025642
701290240,22.0690377300755
701290248,3.67672794612487
701290250,2.13949107025642
701290256,3.67672794612487
701290261,10.1363376173051
701290265,26117.8283987127
701290268,22.0690377300755
701290272,2.61938857362546
701290280,250.739795291534
701290282,1.83793939989059
701290287,2.83906371165048
701290289,1.8611396957161
701290291,2.14457875983455
701290292,2.83906371165048
701290293,34.0680908533621
701290296,3.78094291941918
701290298,0.847839321497456
701290301,1.31117768906696
701290304,1.91162564706
701290307,0.337801563654017
701290308,3.7011243728537
701290310,3.67672794612487
701290311,3.84721319389237
701290317,10.1363376173051
701290323,2.83906371165048
701290326,0.337801563654017
701290327,10.1363376173051
701290328,0.799348372117963
701290330,4.41235056086938
701290331,2.45158635281192
701290332,0.578281219076793
701290334,0.372238923089532
701290340,2.17049033980219
701290344,1.05542664726367
701290347,1.34990711996174
701290354,4.18290620900884
701290356,2.87290329056583
701290357,2.1443380844549
701290359,1.79758298706595
701290366,2.03853573110709
701290369,3.63365768177621
701290374,2.89743861682363
701290375,5.39102366652896
701290376,3.36547840493793
701290377,2.44675721709084
701290384,1.93932957968866
701290385,1.91162564706
701290387,2.03853573110709
701290390,2.57524281789075
701290396,1.57138635613162
701290403,3.26425113539365
701290404,1.05542664726367
701290406,2.40037639742402
701290411,3.23971087970259
701290423,1.79314066905426
701290425,2.59947668986285
701290436,0.847839321497456
701290438,0.812982978867561
701290440,3.34857593167791
701290449,3.17725825677572
701290451,23.2209827124583
701290452,0.949114371742567
701290454,3.36547840493793
701290457,0.812982978867561
701290462,3.34857593167791
701290464,23.2209827124583
701290471,1.75663921133641
701290475,0.812982978867561
701290476,1.76129976724297
701290485,3.36547840493793
701290486,2.88907345667775
701290489,11.2734203312823
701290490,1.7346590128286
701290492,21.8417920682498
701290496,1.73353000095501
701290499,3.90067488447067
701290506,1.9920897631717
701290513,2.00195521373556
701290515,3.17725825677572
701290518,3.36547840493793
701290520,0.793316625580791
701290522,6.46505147383081
701290531,0.584026318384712
701290535,2.00195521373556
701290541,0.584026318384712
701290542,2.0475712990486
701290544,3.26425113539365
701290545,21.8417920682498
701290549,1.09914601539545
701290551,2.67747024583912
701290555,21.8417920682498
701290557,1.66030764666555
701290560,0.584026318384712
701290563,2.83145251947612
701290567,21.8417920682498
701290571,6.70881123915877
701290579,2.30675355148442
701290580,2.00195521373556
701290582,2.07132589967162
