"rid","us_strm_crossings"
701289424,1.51296373019437e-06
701289426,0
701289427,6.86240821434655e-06
701289430,0
701289432,1.02036050635608e-06
701289433,5.88148042251788e-07
701289435,9.05734424627091e-07
701289440,1.99100712474145e-06
701289446,6.86240821434655e-06
701289448,1.51296373019437e-06
701289455,1.57585607945585e-06
701289459,0
701289461,1.57585607945585e-06
701289469,1.44856319805593e-06
701289476,1.72924433512466e-06
701289480,0
701289488,1.6508640681809e-06
701289490,1.55035882157024e-06
701289491,0
701289496,1.55035882157024e-06
701289500,1.55035882157024e-06
701289501,1.60252140872291e-06
701289509,1.26566535822876e-06
701289511,1.78335913768999e-06
701289513,2.91268850715645e-06
701289515,0
701289520,1.7350740546376e-06
701289522,9.40770435779986e-07
701289525,1.99100712474145e-06
701289529,1.55035882157024e-06
701289533,0
701289541,1.99100712474145e-06
701289542,1.5501857400816e-06
701289543,1.55035882157024e-06
701289545,1.58717634357433e-06
701289552,1.55035882157024e-06
701289553,1.774972049371e-06
701289563,8.63363682441709e-07
701289567,0
701289569,0
701289571,1.56948074472974e-06
701289575,0
701289577,1.56948074472974e-06
701289585,0
701289591,1.24979192668824e-06
701289596,1.24979192668824e-06
701289607,1.08146965354516e-06
701289611,1.44856319805593e-06
701289616,1.44856319805593e-06
701289621,1.08146965354516e-06
701289623,1.52874871037082e-06
701289624,1.46277762365301e-06
701289625,9.91895093320029e-07
701289629,1.53016914445168e-06
701289635,1.53016914445168e-06
701289641,1.53493411874898e-06
701289647,1.53016914445168e-06
701289652,1.53493411874898e-06
701289657,0
701289659,0
701289664,1.54991309773266e-06
701289666,0
701289672,0
701289675,1.41334705239543e-06
701289680,1.41334705239543e-06
701289685,1.41334705239543e-06
701289687,0
701289688,1.54991309773266e-06
701289691,0
701289692,2.2469306836142e-06
701289693,0
701289700,1.41842451941487e-06
701289702,0
701289707,1.38908609551258e-06
701289711,0
701289712,1.75575146929739e-06
701289717,0
701289719,0
701289720,0
701289726,3.81596518929105e-06
701289728,1.38908609551258e-06
701289730,0
701289731,0
701289741,0
701289743,1.54991309773266e-06
701289745,0
701289747,0
701289753,0
701289767,1.396008136825e-06
701289773,5.04233228680996e-07
701289775,0
701289778,1.66195045761484e-06
701289780,1.70949381491074e-06
701289782,0
701289785,1.396008136825e-06
701289786,0
701289789,0
701289793,0
701289794,0
701289795,0
701289797,1.66195045761484e-06
701289804,1.20209927216768e-06
701289806,1.29004375909552e-06
701289808,0
701289815,0
701289819,0
701289822,0
701289826,0
701289827,4.22212820374941e-07
701289828,0
701289831,3.46110241341939e-06
701289832,1.54991309773266e-06
701289841,0
701289843,4.22212820374941e-07
701289848,1.28043262997654e-06
701289853,9.60221469935254e-06
701289855,1.28043262997654e-06
701289858,0
701289861,1.28043262997654e-06
701289867,0
701289869,1.26180104657927e-06
701289870,0
701289872,0
701289876,6.47002460758758e-07
701289878,1.19090671051994e-06
701289886,1.66195045761484e-06
701289888,6.47002460758758e-07
701289894,5.83487462731418e-07
701289897,6.47002460758758e-07
701289904,1.19090671051994e-06
701289908,1.29695655308713e-06
701289913,6.29635302373194e-07
701289920,6.29635302373194e-07
701289925,5.06887743780606e-07
701289928,0
701289934,6.29635302373194e-07
701289937,5.83487462731418e-07
701289938,0
701289943,1.19090671051994e-06
701289945,8.86397335105269e-07
701289946,1.40631264472413e-06
701289950,5.06887743780606e-07
701289954,5.83487462731418e-07
701289955,5.06887743780606e-07
701289957,1.27373804273018e-06
701289958,5.06887743780606e-07
701289963,5.06887743780606e-07
701289964,5.06887743780606e-07
701289967,1.90469798237202e-06
701289969,2.06495927664695e-06
701289971,5.06887743780606e-07
701289974,5.06887743780606e-07
701289975,5.06887743780606e-07
701289976,5.06887743780606e-07
701289978,5.06887743780606e-07
701289988,5.05376730503047e-07
701289996,5.05376730503047e-07
701289999,0
701290002,6.47002460758758e-07
701290004,8.64952170836684e-07
701290007,1.17058696308166e-06
701290015,1.16912049899615e-06
701290017,5.99763397753845e-07
701290024,1.48385598726338e-06
701290027,1.48385598726338e-06
701290028,1.17058696308166e-06
701290030,5.65046863060012e-06
701290032,1.48385598726338e-06
701290035,1.48385598726338e-06
701290039,2.98429547942981e-06
701290041,2.98429547942981e-06
701290046,1.17568917399899e-06
701290049,1.23289046007918e-06
701290052,6.98847680642272e-07
701290056,6.80010058332511e-07
701290058,1.67014781616358e-06
701290062,1.17499374336018e-06
701290063,8.76707322882642e-07
701290065,0
701290067,1.10069236232528e-06
701290069,2.63999358789909e-06
701290071,0
701290075,1.48385598726338e-06
701290077,0
701290079,5.65046863060012e-06
701290087,0
701290092,1.48385598726338e-06
701290098,0
701290100,0
701290101,2.98429547942981e-06
701290102,0
701290103,1.17291100117031e-06
701290109,1.17616451236669e-06
701290113,0
701290115,0
701290117,8.76707322882642e-07
701290121,0
701290122,0
701290124,1.17323273074801e-06
701290126,1.62952761687955e-06
701290127,5.05376730503047e-07
701290129,8.36143431286657e-07
701290130,0
701290132,7.24935679155762e-07
701290136,0
701290138,7.24935679155762e-07
701290139,0
701290140,0
701290150,8.36143431286657e-07
701290166,1.16963109860249e-06
701290167,8.36143431286657e-07
701290169,8.36143431286657e-07
701290171,7.24935679155762e-07
701290174,8.36143431286657e-07
701290178,8.36143431286657e-07
701290183,0
701290190,0
701290200,1.16810996315307e-06
