"rid","us_MAT"
701291631,3.74971440386434
701291874,3.7602428605126
701291980,3.77804327472378
701292074,3.77804327472378
701292086,3.78452374292924
701292252,3.78452374292924
701292289,3.78832762305123
701292733,3.78838974290008
701292926,3.80317119819734
701292986,3.80952541667308
701293015,3.78273583598745
701293264,3.78273583598745
701293531,3.78273583598745
701293566,3.78273583598745
701293659,3.786550697165
701293857,3.79182453018147
701294013,3.79182453018147
701294127,3.79274379269139
701294398,3.81171391779457
701295036,3.82447054292614
701295272,3.84107201589365
701295283,3.84107201589365
701295626,3.8503667734463
701295699,3.85427423980057
701295727,3.85427423980057
701295761,3.73435194798503
701295837,3.73435194798503
701295896,3.73435194798503
701295934,3.73435194798503
701296585,3.73435194798503
701296673,3.74567496338455
701297164,3.68345597857361
701297386,3.68686053741834
701297699,3.70928260886412
701297762,3.70928260886412
701297875,3.70928260886412
701298382,3.70928260886412
701298502,3.70928260886412
701298690,3.60176130445315
701298713,3.60176130445315
701298714,3.60176130445315
701298729,3.73068657247364
701298737,3.73068657247364
701298743,3.60176130445315
701298779,3.60176130445315
701298818,3.60176130445315
701299005,3.60176130445315
701299035,3.60176130445315
701299093,3.60176130445315
701299109,3.60176130445315
701299131,3.60176130445315
701299223,3.60176130445315
701299251,3.60176130445315
701299431,3.60176130445315
701299681,3.60176130445315
701299758,3.60176130445315
701299786,3.60176130445315
701299795,3.60176130445315
701299799,3.60176130445315
701299836,3.60176130445315
701299889,3.60176130445315
701299975,3.60176130445315
701300102,3.60176130445315
701300177,3.60176130445315
701300231,3.60176130445315
701300252,3.60176130445315
701300275,3.60203511853381
701300329,3.60767528788071
701300353,3.60767528788071
701300381,3.60767528788071
701300400,3.60767528788071
701300411,3.60767528788071
701300417,3.60767528788071
701300457,3.60767528788071
701300475,3.60767528788071
701300494,3.60767528788071
701300508,3.60767528788071
701300544,3.60767528788071
701300584,3.60767528788071
701300693,3.60767528788071
701300753,3.60767528788071
701300785,3.60767528788071
701300906,3.60767528788071
701300967,3.60767528788071
701300975,3.61125325654019
701300989,3.61125325654019
701301004,3.61125325654019
701301035,3.61889313781683
701301051,3.61889313781683
701301206,3.61889313781683
701301207,3.61889313781683
701301242,3.61889313781683
701301294,3.61889313781683
701301333,3.61889313781683
701301355,3.62228063437257
701301370,3.62228063437257
701301717,3.62228063437257
701301879,3.63651959818355
701301884,3.62424194662259
701301885,3.62424194662259
701301919,3.63651959818355
701301991,3.63651959818355
701302276,3.63651959818355
701302532,3.63824325764189
701302570,3.6384738228129
701302580,3.63905026878176
701302648,3.61630792567423
701302695,3.61630792567423
701302817,3.61630792567423
701302835,3.61815360877181
701302893,3.6181728167444
701302965,3.61842577486708
701302997,3.62039927221132
701302998,3.62036412630664
701303039,3.62101540583789
701303054,3.62110679837329
701303061,3.6225080224231
701303105,3.62275623542554
701303174,3.62279747447243
701303274,3.62279913775351
701303348,3.62327658765058
701303369,3.62366099564864
701303391,3.62372300660174
